County/Court	court location website	court hours webpage	court Rules (local) webpage	court Fees webpage	court Judges webpage	court department directory webpage	Court Holidays	case types filed at location	notes				case type abbrev. = 	case type
Alameda County	http://www.alameda.courts.ca.gov/	http://www.alameda.courts.ca.gov/Pages.aspx/Hours	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		See specific location below					AP	Appeals
Alameda 	http://www.alameda.courts.ca.gov/pages.aspx/Alameda-George-E-McDonald-Hall-of-Justice	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#al	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		FL					CH	Civil Harassment
Berkeley	http://www.alameda.courts.ca.gov/Pages.aspx/Berkeley-Courthouse	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#be	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		PR					CV	Civil 
Fremont	http://www.alameda.courts.ca.gov/Pages.aspx/Fremont-Hall-of-Justice	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#fr	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		CR, TR					CR	Criminal
Hayward	http://www.alameda.courts.ca.gov/Pages.aspx/Hayward-Hall-of-Justice	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#ha	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		CV, CR, FL					FL	Family Law
Oakland - Rene C. Davidson courthouse	http://www.alameda.courts.ca.gov/Pages.aspx/Oakland-Rene-C-Davidson	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#oa2	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		CV, CR, JV					IN	Infraction
Oakland - Wiley W. Manual courthouse	http://www.alameda.courts.ca.gov/Pages.aspx/Oakland-Wiley-W-Manuel	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#oa1	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		CR, TR					JV	Juvenile
San Leandro - Juvenile Justice Center	http://www.alameda.courts.ca.gov/Pages.aspx/San-Leandro-Juvenile-Justice-Center	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#sl	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		JV					MH	Mental Health
San Leandro - John George Psychiatric Pavillion	None	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#jg	http://www.alameda.courts.ca.gov/Pages.aspx/Local-Rules(1)	http://www.alameda.courts.ca.gov/Pages.aspx/Fee-Schedule	http://www.alameda.courts.ca.gov/Pages.aspx/Judicial-Directory	http://www.alameda.courts.ca.gov/Pages.aspx/Phone-Fax-Numbers		MH	Separate location listed only in the hours page.				PR	Probate
Alpine County	http://www.alpine.courts.ca.gov/	http://www.alpine.courts.ca.gov/Calendar/tabid/59/Default.aspx	http://www.alpine.courts.ca.gov/LocalRulesofCourt/tabid/143/Default.aspx	http://www.alpine.courts.ca.gov/FeeSchedule/tabid/56/Default.aspx	None	None		All	Only 1 court location in this county and only two judges at the location, both of whom are listed on the home page.  Court's calendar page (URL in "hours" column") contains hours and holidays in addition to the court calendars. 				SC	Small Claims
