CourtName	Url	CourtKey	SelectionXPathString	OldPageHtml	NewPageHtml		Checked	LastChangedDateTime	LastRunDateTime
Alameda County	http://www.alameda.courts.ca.gov/Pages.aspx/Hours	Hours		Never Diffed	Never Diffed		FALSE	1/1/2000	1/1/2000
Alameda 	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#al	Hours		Never Diffed	Never Diffed		FALSE	1/2/2000	1/2/2000
Berkeley	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#be	Hours		Never Diffed	Never Diffed		FALSE	1/3/2000	1/3/2000
Fremont	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#fr	Hours		Never Diffed	Never Diffed		FALSE	1/4/2000	1/4/2000
Hayward	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#ha	Hours		Never Diffed	Never Diffed		FALSE	1/5/2000	1/5/2000
Oakland - Rene C. Davidson courthouse	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#oa2	Hours		Never Diffed	Never Diffed		FALSE	1/6/2000	1/6/2000
Oakland - Wiley W. Manual courthouse	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#oa1	Hours		Never Diffed	Never Diffed		FALSE	1/7/2000	1/7/2000
San Leandro - Juvenile Justice Center	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#sl	Hours		Never Diffed	Never Diffed		FALSE	1/8/2000	1/8/2000
San Leandro - John George Psychiatric Pavillion	http://www.alameda.courts.ca.gov/Pages.aspx/Hours#jg	Hours		Never Diffed	Never Diffed		FALSE	1/9/2000	1/9/2000
Alpine County	http://www.alpine.courts.ca.gov/Calendar/tabid/59/Default.aspx	Hours		Never Diffed	Never Diffed		FALSE	1/10/2000	1/10/2000
Amador County	http://www.amadorcourt.org/	Hours		Never Diffed	Never Diffed		FALSE	1/11/2000	1/11/2000
Chico - North Butte Co. Courthouse	http://www.buttecourt.ca.gov/courthouses/NCCHcourthouse.htm	Hours		Never Diffed	Never Diffed		FALSE	1/12/2000	1/12/2000
Oroville - Butte Co. Courthouse	http://www.buttecourt.ca.gov/courthouses/BCCHcourthouse.htm	Hours		Never Diffed	Never Diffed		FALSE	1/13/2000	1/13/2000
Calaveras County	http://www.calaveras.courts.ca.gov/info/contact	Hours		Never Diffed	Never Diffed		FALSE	1/14/2000	1/14/2000
Colusa County	http://www.colusa.courts.ca.gov/contact_info.asp	Hours		Never Diffed	Never Diffed		FALSE	1/15/2000	1/15/2000
